Match-Name,Name,score
"Spirit Lake, ID","Spirit Lake, ID",100
"The Hills, TX","The Hills, TX",100
"Fredericktown, OH","Fredericktown, OH",100
"Coopersburg, PA","Coopersburg, PA",100
"Carrabelle, FL","Carrabelle, FL",100
"Overton, TX","Overton, TX",100
"Osceola, WI","Osceola, WI",100
"Brookville, IN","Brookville, IN",100
"New Hope, PA","New Hope, PA",100
"Diamond, IL","Diamond, IL",100
"Sabetha, KS","Sabetha, KS",100
"Royston, GA","Royston, GA",100
"Townsend, DE","Townsend, DE",100
"Mountain View, MO","Mountain View, MO",100
"Tahoka, TX","Tahoka, TX",100
"Loudonville, OH","Loudonville, OH",100
"Williams Bay, WI","Williams Bay, WI",100
"Freemansburg, PA","Freemansburg, PA",100
"Missouri Valley, IA","Missouri Valley, IA",100
"La Grange, NC","La Grange, NC",100
"West Fork, AR","West Fork, AR",100
"Centreville, AL","Centreville, AL",100
"Folly Beach, SC","Folly Beach, SC",100
"University Park, MD","University Park, MD",100
"Tilton, IL","Tilton, IL",100
"Dawson Springs, KY","Dawson Springs, KY",100
"Pawnee, IL","Pawnee, IL",100
"Eutaw, AL","Eutaw, AL",100
"Talty, TX","Talty, TX",100
"Hillsville, VA","Hillsville, VA",100
"Blasdell, NY","Blasdell, NY",100
"Liberty, NC","Liberty, NC",100
"Oronogo, MO","Oronogo, MO",100
"Juneau, WI","Juneau, WI",100
"Hallam, PA","Hallam, PA",100
"Reynoldsville, PA","Reynoldsville, PA",100
"Jemison, AL","Jemison, AL",100
"Thunderbolt, GA","Thunderbolt, GA",100
"Federalsburg, MD","Federalsburg, MD",100
"Santa Rosa, NM","Santa Rosa, NM",100
"Morton, PA","Morton, PA",100
"East Lansdowne, PA","East Lansdowne, PA",100
"Green Park, MO","Green Park, MO",100
"Hallettsville, TX","Hallettsville, TX",100
"Forsyth, MO","Forsyth, MO",100
"Vergennes, VT","Vergennes, VT",100
"Crisfield, MD","Crisfield, MD",100
"Forest Heights, MD","Forest Heights, MD",100
"Lewiston, NY","Lewiston, NY",100
"Belvidere, NJ","Belvidere, NJ",100
"Swedesboro, NJ","Swedesboro, NJ",100
"Yorkville, NY","Yorkville, NY",100
"Abita Springs, LA","Abita Springs, LA",100
"Wales, WI","Wales, WI",100
"Gowanda, NY","Gowanda, NY",100
"Okanogan, WA","Okanogan, WA",100
"Bonners Ferry, ID","Bonners Ferry, ID",100
"Dublin, VA","Dublin, VA",100
"Hartford, MI","Hartford, MI",100
"Barnesville, MN","Barnesville, MN",100
"Landrum, SC","Landrum, SC",100
"Indian Springs, AL","Indian Springs, AL",100
"Pearl River, LA","Pearl River, LA",100
"Marietta, PA","Marietta, PA",100
"Trenton, IL","Trenton, IL",100
"Fairmont, NC","Fairmont, NC",100
"Sutter Creek, CA","Sutter Creek, CA",100
"Seymour, TX","Seymour, TX",100
"Potosi, MO","Potosi, MO",100
"Clarkson Valley, MO","Clarkson Valley, MO",100
"White Salmon, WA","White Salmon, WA",100
"Merkel, TX","Merkel, TX",100
"Avoca, PA","Avoca, PA",100
"Alburtis, PA","Alburtis, PA",100
"Jellico, TN","Jellico, TN",100
"Fremont, IN","Fremont, IN",100
"Weimar, TX","Weimar, TX",100
"East Washington, PA","East Washington, PA",100
"Sylvan Lake, MI","Sylvan Lake, MI",100
"Leetonia, OH","Leetonia, OH",100
"Sunray, TX","Sunray, TX",100
"Tenino, WA","Tenino, WA",100
"Lavallette, NJ","Lavallette, NJ",100
"Priest River, ID","Priest River, ID",100
"Dalton, OH","Dalton, OH",100
"Navarre, OH","Navarre, OH",100
"Medicine Lodge, KS","Medicine Lodge, KS",100
"Seabrook Island, SC","Seabrook Island, SC",100
"Haslet, TX","Haslet, TX",100
"Flora, MS","Flora, MS",100
"Brookwood, AL","Brookwood, AL",100
"Edgewood, IN","Edgewood, IN",100
"Lakesite, TN","Lakesite, TN",100
"Alpine, NJ","Alpine, NJ",100
"Shepherdstown, WV","Shepherdstown, WV",100
"Milan, IN","Milan, IN",100
"Churubusco, IN","Churubusco, IN",100
"Roundup, MT","Roundup, MT",100
"Moundridge, KS","Moundridge, KS",100
"Merrionette Park, IL","Merrionette Park, IL",100
"Spring, TN","Spring, TN",100
"Lookout Mountain, TN","Lookout Mountain, TN",100
"Prairie Grove, IL","Prairie Grove, IL",100
"Mercer, PA","Mercer, PA",100
"Bradford, OH","Bradford, OH",100
"Rolling Hills, CA","Rolling Hills, CA",100
"Evart, MI","Evart, MI",100
"Martinsburg, PA","Martinsburg, PA",100
"Jacobus, PA","Jacobus, PA",100
"Clayton, NY","Clayton, NY",100
"Andrews, NC","Andrews, NC",100
"Nicholson, GA","Nicholson, GA",100
"Oakland, MD","Oakland, MD",100
"Olathe, CO","Olathe, CO",100
"Vale, OR","Vale, OR",100
"Frankton, IN","Frankton, IN",100
"Olivet, MI","Olivet, MI",100
"Bruce, MS","Bruce, MS",100
"Long Lake, MN","Long Lake, MN",100
"Piperton, TN","Piperton, TN",100
"Howard, MI","Howard, MI",100
"Clatskanie, OR","Clatskanie, OR",100
"Sumrall, MS","Sumrall, MS",100
"Roberts, WI","Roberts, WI",100
"Waterbury, VT","Waterbury, VT",100
"Ault, CO","Ault, CO",100
"Bonneauville, PA","Bonneauville, PA",100
"Roseville, OH","Roseville, OH",100
"New Hartford, NY","New Hartford, NY",100
"Plainville, KS","Plainville, KS",100
"Durant, IA","Durant, IA",100
"Hudson, CO","Hudson, CO",100
"Grayling, MI","Grayling, MI",100
"Wakarusa, IN","Wakarusa, IN",100
"Crossville, AL","Crossville, AL",100
"Parchment, MI","Parchment, MI",100
"Krugerville, TX","Krugerville, TX",100
"Clarkesville, GA","Clarkesville, GA",100
"Denver, IA","Denver, IA",100
"Blaine, TN","Blaine, TN",100
"Scotland Neck, NC","Scotland Neck, NC",100
"Laurel Springs, NJ","Laurel Springs, NJ",100
"Tullytown, PA","Tullytown, PA",100
"Mackinaw, IL","Mackinaw, IL",100
"Atlantic Beach, NY","Atlantic Beach, NY",100
"Cottonport, LA","Cottonport, LA",100
"Glen Gardner, NJ","Glen Gardner, NJ",100
"Willard, UT","Willard, UT",100
"Sparta, MO","Sparta, MO",100
"Hopewell, NJ","Hopewell, NJ",100
"Hoschton, GA","Hoschton, GA",100
"Carbon Hill, AL","Carbon Hill, AL",100
"Richmond, IL","Richmond, IL",100
"Scottsville, NY","Scottsville, NY",100
"Phelps, NY","Phelps, NY",100
"Haskell, OK","Haskell, OK",100
"Phoenix, IL","Phoenix, IL",100
"New Athens, IL","New Athens, IL",100
"Saltville, VA","Saltville, VA",100
"North Liberty, IN","North Liberty, IN",100
"Englishtown, NJ","Englishtown, NJ",100
"Hinckley, MN","Hinckley, MN",100
"Warson Woods, MO","Warson Woods, MO",100
"Rockdale, IL","Rockdale, IL",100
"Jacksboro, TN","Jacksboro, TN",100
"Portola, CA","Portola, CA",100
"Atkins, IA","Atkins, IA",100
"Linden, TX","Linden, TX",100
